Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
10	1501	2	309	2.0	2.0	309.0	300.2	6	388	1	42	1.0	1.2	42.0	77.6	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	1	42	1.0	1.2	42.0	77.6	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	2	309	2.0	2.0	309.0	300.2	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	6	388	0	0	0.0	1.0	0.0	64.66666666666667	dns
6	388	1	42	1.0	1.2	42.0	77.6	10	1501	2	309	2.0	2.0	309.0	300.2	dns
6	388	0	0	0.0	1.0	0.0	64.66666666666667	10	1501	0	0	0.0	1.6666666666666667	0.0	250.16666666666666	dns
