Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	5	346	0	0	0.0	1.25	0.0	86.5	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	6	388	1	42	1.0	1.2	42.0	77.6	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	6	388	1	42	1.0	1.2	42.0	77.6	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
6	388	1	42	1.0	1.2	42.0	77.6	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	6	388	1	42	1.0	1.2	42.0	77.6	voice
5	346	0	0	0.0	1.25	0.0	86.5	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	6	388	1	42	1.0	1.2	42.0	77.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	197	30694	48	7584	48.0	49.25	7584.0	7673.5	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
247	38478	50	7784	50.0	49.4	7784.0	7695.6	6	388	1	42	1.0	1.2	42.0	77.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	1	42	1.0	1.2	42.0	77.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	1	42	1.0	1.2	42.0	77.6	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	247	38478	50	7784	50.0	49.4	7784.0	7695.6	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	1.0	0.0	64.66666666666667	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
6	388	0	0	0.0	1.0	0.0	64.66666666666667	296	46220	49	7742	49.0	49.333333333333336	7742.0	7703.333333333333	voice
346	54120	50	7900	50.0	49.42857142857143	7900.0	7731.428571428572	6	388	0	0	0.0	0.8571428571428571	0.0	55.42857142857143	voice
