Timestamp,SSIP,SSP,SDFP,SDFB,SFE,Status
2022-07-18_23:17:23.484235,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
2022-07-18_23:17:23.488958,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
2022-07-18_23:17:23.489498,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
2022-07-18_23:17:28.485759,0.4,4.0,8.30539534499922,1578.0251155498515,4.2,0
2022-07-18_23:17:28.490377,0.4,4.0,8.30539534499922,1578.0251155498515,4.2,0
2022-07-18_23:17:28.490904,0.4,4.0,8.30539534499922,1578.0251155498515,4.2,0
2022-07-18_23:17:33.488289,0.4,4.0,9.370189619999119,1780.3360277998327,4.2,0
2022-07-18_23:17:33.493028,0.4,4.0,9.370189619999119,1780.3360277998327,4.2,0
2022-07-18_23:17:33.493565,0.4,4.0,9.370189619999119,1780.3360277998327,4.2,0
2022-07-18_23:17:38.488756,0.4,4.0,10.434983894999018,1982.6469400498133,4.2,0
2022-07-18_23:17:38.496047,0.4,4.0,10.434983894999018,1982.6469400498133,4.2,0
2022-07-18_23:17:38.496870,0.4,4.0,10.434983894999018,1982.6469400498133,4.2,0
2022-07-18_23:17:43.489659,0.4,4.0,11.499778169998919,2184.9578522997945,4.2,0
2022-07-18_23:17:43.494235,0.4,4.0,11.499778169998919,2184.9578522997945,4.2,0
2022-07-18_23:17:43.494774,0.4,4.0,11.499778169998919,2184.9578522997945,4.2,0
2022-07-18_23:17:48.490994,0.4,4.0,12.564572444998818,2387.268764549776,4.2,0
2022-07-18_23:17:48.498700,0.4,4.0,12.564572444998818,2387.268764549776,4.2,0
2022-07-18_23:17:48.499313,0.4,4.0,12.564572444998818,2387.268764549776,4.2,0
2022-07-18_23:17:53.492535,0.4,4.0,0.8518354199999199,161.8487297999848,4.2,0
2022-07-18_23:17:53.498959,0.4,4.0,0.8518354199999199,161.8487297999848,4.2,0
2022-07-18_23:17:53.499470,0.4,4.0,0.8518354199999199,161.8487297999848,4.2,0
2022-07-18_23:17:58.493100,0.4,4.0,1.9166296949998196,364.1596420499658,4.2,0
2022-07-18_23:17:58.502850,0.4,4.0,1.9166296949998196,364.1596420499658,4.2,0
2022-07-18_23:17:58.503451,0.4,4.0,1.9166296949998196,364.1596420499658,4.2,0
2022-07-18_23:18:03.494617,0.4,4.0,2.9814239699997196,566.4705542999468,4.2,0
2022-07-18_23:18:03.499086,0.4,4.0,2.9814239699997196,566.4705542999468,4.2,0
2022-07-18_23:18:03.499593,0.4,4.0,2.9814239699997196,566.4705542999468,4.2,0
2022-07-18_23:18:08.497592,0.4,4.0,4.046218244999619,768.7814665499277,4.2,0
2022-07-18_23:18:08.498145,0.4,4.0,4.046218244999619,768.7814665499277,4.2,0
2022-07-18_23:18:08.504350,0.4,4.0,4.046218244999619,768.7814665499277,4.2,0
2022-07-18_23:18:13.502199,0.4,4.0,5.1110125199995196,971.0923787999087,4.2,0
2022-07-18_23:18:13.506884,0.4,4.0,5.1110125199995196,971.0923787999087,4.2,0
2022-07-18_23:18:13.507657,0.4,4.0,5.1110125199995196,971.0923787999087,4.2,0
2022-07-18_23:18:18.503946,0.4,4.0,6.17580679499942,1173.4032910498897,4.2,0
2022-07-18_23:18:18.508298,0.4,4.0,6.17580679499942,1173.4032910498897,4.2,0
2022-07-18_23:18:18.508902,0.4,4.0,6.17580679499942,1173.4032910498897,4.2,0
2022-07-18_23:18:23.505115,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
2022-07-18_23:18:23.509317,0.4,4.0,7.240601069999318,1375.7142032998704,4.2,0
