
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058555 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058556 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058556 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058556 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058557 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058557 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058558 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058558 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058559 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058559 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058560 
Status; New Traffic Observed: 10.0.0.9 c2:d0:a3:8d:fe:58, connected to 10.0.0.1, 1, -1,-1,2048,1664058560 
